Material Number,Material_Key__c,Description,Multi_Use_Demo__c
87691,87691-US60-10,"TRAY DBL DECK W/FNG STR 10.5"" X 15"" X 2""",TRUE
87702,87702-US60-10,"CASE UTILITY MICRO PERF W/LID 3"" X 3""",TRUE
87747,87747-US60-10,"CASE ALUM W/ULTRA SOFT MAT 4"" X 8""",TRUE
87748,87748-US60-10,"CASE ALUM W/ULTRA SOFT MAT 8"" X 12"" X 1""",TRUE
87749,87749-US60-10,"CASE ALUM W/ULTRA SOFT MAT 8"" X 14"" X 1""",TRUE
87750,87750-US60-10,"CASE ALUM W/ULTRA SOFT MAT 10"" X 6"" X 1""",TRUE
89105,89105-US60-10,"BASKET PERF 11"" X 11"" X 4""",TRUE
101010,101010-US60-10,"IN-EX HALSTED MOSQ., STRAIGHT 5""",TRUE
101011,101011-US60-10,"IN-EX HALSTED MOSQ., CURVED 5""",TRUE
101012,101012-US60-10,"IN-EX KELLY, STRAIGHT 5 1/2""",TRUE
101013,101013-US60-10,"IN-EX KELLY, CURVED 5 1/2""",TRUE
101014,101014-US60-10,"IN-EX ROCHESTER-PEAN STR 6.5""",TRUE
101015,101015-US60-10,"IN-EX ROCHESTER-PEAN, CURVED 6 1/2""",TRUE
101016,101016-US60-10,"IN-EX CRILE HEMOSTAT, STRAIGHT 5 1/2""",TRUE
101017,101017-US60-10,"IN-EX CRILE HEMOSTAT, CURVED 5 1/2""",TRUE
101022,101022-US60-10,"IN-EX BACKHAUS 3 1/2""",TRUE
101023,101023-US60-10,"IN-EX BACKHAUS 5 1/4""",TRUE
101024,101024-US60-10,"IN-EX HOFF TOWEL CLAMP NON-PERF 5.5""",TRUE
101027,101027-US60-10,"IN-EX ALLIS TISSUE FCPS 4X5 TTH 6.25""",TRUE
101028,101028-US60-10,"IN-EX EDNA TOWEL CLAMP 5 1/2""",TRUE
101031,101031-US60-10,"IN-EX WEBSTER NEEDLE HOLDER 5""",TRUE
101032,101032-US60-10,"IN-EX BAUMGARTNER NEEDLE HOLDER 5 1/2""",TRUE
101033,101033-US60-10,"IN-EX BOZEMAN FORCEPS STR 10""",TRUE
101034,101034-US60-10,"IN-EX BOZEMAN FORCEPS CVD 10""",TRUE
101035,101035-US60-10,"IN-EX SCIS MAYO STR 5.5""",TRUE
101036,101036-US60-10,"IN-EX SCIS CVD 5.5""",TRUE
101037,101037-US60-10,"IN-EX MAYO SCISSORS STR 6 3/4""",TRUE
101038,101038-US60-10,"IN-EX MAYO SCISSORS CVD 6 3/4""",TRUE
101039,101039-US60-10,"IN-EX WIRE SCISSORS 4 3/4""",TRUE
101051,101051-US60-10,"TRAY SS 10.5"" X 10"" X 3.5""",TRUE
101054,101054-US60-10,"TRAY SS 13"" X 20.25"" X 3.5""",TRUE
101061,101061-US60-10,"TRAY SS PERF 10"" X 6.5"" X .75""",TRUE
101075,101075-US60-10,"TRAY SS WITH LID-GOMEZ 32"" X 7"" X 7""",TRUE
101130,101130-US60-10,"IN-EX NH MAYO HEGAR 6""",TRUE
101131,101131-US60-10,"IN-EX MAYO HEGAR NH 7""",TRUE
101140,101140-US60-10,"IN-EX OPER SCIS STR S/B 5 1/2""",TRUE
101141,101141-US60-10,"IN-EX OPER SCIS STR S/S 5 1/2""",TRUE
101142,101142-US60-10,"IN-EX LISTER BNDG SCIS 5 1/2""",TRUE
101143,101143-US60-10,"IN-EX LISTER BNDG SCIS 7 1/2""",TRUE
101144,101144-US60-10,"IN-EX IRIS SCIS STR 4 1/2""",TRUE
101145,101145-US60-10,"IN-EX IRIS SCIS CVD 4 1/2""",TRUE
101146,101146-US60-10,"IN-EX LITTAUER SCIS 5 1/2""",TRUE
101147,101147-US60-10,"IN-EX THUMB FCPS 5 1/2""",TRUE
101148,101148-US60-10,"IN-EX TISSUE FCPS 1X2 5 1/2""",TRUE
101149,101149-US60-10,"IN-EX ADSON FCPS SER 4 3/4""",TRUE
101150,101150-US60-10,"IN-EX ADSON FCPS 1X2 4 3/4""",TRUE
101151,101151-US60-10,"IN-EX FCPS SPONGE STR SERR 9.5""",TRUE
101152,101152-US60-10,"IN-EX FCPS SPONGE STR SERR 7.25""",TRUE
121380,121380-US60-10,"SURGIBAND BLACK 244"" X 0.25""",TRUE
121381,121381-US60-10,"SURGIBAND RED 244"" X 0.25""",TRUE
121382,121382-US60-10,"SURGIBAND GREEN 244"" X 0.25""",TRUE
121383,121383-US60-10,"SURGIBAND YELLOW 244"" X 0.25""",TRUE
121384,121384-US60-10,"SURGIBAND BLUE 244"" X 0.25""",TRUE
121385,121385-US60-10,"SURGIBAND WHITE 244"" X 0.25""",TRUE
121386,121386-US60-10,"SURGIBAND ORANGE 244"" X 0.25""",TRUE
121387,121387-US60-10,"SURGIBAND BROWN 244"" X 0.25""",TRUE
121388,121388-US60-10,"SURGIBAND PURPLE 244"" X 0.25""",TRUE
121389,121389-US60-10,"SURGIBAND NEON ORANGE 244"" X 0.25""",TRUE
121390,121390-US60-10,"SURGIBAND GRAY 244"" X 0.25""",TRUE
121391,121391-US60-10,"SURGIBAND LIME GREEN 244"" X 0.25""",TRUE
121410,121410-US60-10,"SPONGE FCPS STR SMOOTH 7""",TRUE
121412,121412-US60-10,"SPONGE FCPS STR SERRATED 7""",TRUE
121415,121415-US60-10,"SPONGE FCPS STR SMOOTH 9 1/2""",TRUE
121417,121417-US60-10,"FCPS SPONGE STR SERR 9.5""",TRUE
121422,121422-US60-10,"SPONGE FCPS CVD SERRATED 7""",TRUE
121427,121427-US60-10,"FCPS SPONGE CVD SERR 9.5""",TRUE
121600,121600-US60-10,"BACKHAUS TOWEL FORCEPS 5 1/2""",TRUE
121605,121605-US60-10,"BACKHAUS TOWEL FORCEPS 3 1/2""",TRUE
121610,121610-US60-10,"ROEDER TOWEL FORCEPS 5""",TRUE
121640,121640-US60-10,"JONES TOWEL FCPS CROSS-ACT 3""",TRUE
121650,121650-US60-10,"PEERS TOWEL FORCEPS 5 3/4""",TRUE
121655,121655-US60-10,"EDNA TOWEL FORCEPS 5 1/2""",TRUE
121656,121656-US60-10,"EDNA TOWEL FORCEPS 4""",TRUE
141106,141106-US60-10,"OPER SCISSORS STR S/S 5 1/2""",TRUE
141146,141146-US60-10,"SCIS S/B STR 5.5""",TRUE
141310,141310-US60-10,"SCIS BEVELED BLADE STR 5.5""",TRUE
141312,141312-US60-10,"MAYO SCISSORS STR 6 3/4"" BEV",TRUE
141315,141315-US60-10,"MAYO SCISSORS CVD 5 1/2"" BEV",TRUE
141317,141317-US60-10,"MAYO SCISSORS CVD 6 3/4"" BEV",TRUE
141332,141332-US60-10,"MAYO SCISSORS STR 6 3/4"" ROUND",TRUE
141395,141395-US60-10,"DOYEN ABDOMINAL SCIS STR 7""",TRUE
141448,141448-US60-10,"METZENBAUM SCIS CVD 5 1/2"" DEL",TRUE
141450,141450-US60-10,"LAHEY SCISSORS STR 5 3/4""",TRUE
141452,141452-US60-10,"LAHEY SCISSORS CVD 5 3/4""",TRUE
